epoch,accuracy,loss,val_accuracy,val_loss
0,0.02187499962747097,4.441874980926514,0.02500000037252903,3.9099459648132324
1,0.03750000149011612,3.852823257446289,0.029999999329447746,3.9044411182403564
2,0.042500000447034836,3.755577802658081,0.05000000074505806,3.8967294692993164
3,0.061250001192092896,3.6382086277008057,0.054999999701976776,3.890451669692993
4,0.08937499672174454,3.4565811157226562,0.05000000074505806,3.863297939300537
5,0.10062500089406967,3.345151662826538,0.07750000059604645,3.8582520484924316
6,0.14000000059604645,3.192403554916382,0.04500000178813934,3.840039014816284
7,0.16062499582767487,3.1101672649383545,0.07750000059604645,3.832029104232788
8,0.1837500035762787,3.03200101852417,0.08250000327825546,3.8103837966918945
9,0.1887499988079071,2.9282915592193604,0.057500001043081284,3.809568405151367
10,0.22062499821186066,2.831064462661743,0.10499999672174454,3.7932345867156982
11,0.22624999284744263,2.7416915893554688,0.13750000298023224,3.797671318054199
12,0.26499998569488525,2.6190903186798096,0.16500000655651093,3.771728754043579
13,0.28187501430511475,2.5484695434570312,0.17249999940395355,3.7508327960968018
14,0.3050000071525574,2.4656667709350586,0.23999999463558197,3.705848455429077
15,0.31187498569488525,2.3393003940582275,0.20000000298023224,3.698573350906372
16,0.34312498569488525,2.3103041648864746,0.2775000035762787,3.6248350143432617
17,0.3631249964237213,2.208665132522583,0.2849999964237213,3.6270341873168945
18,0.38499999046325684,2.109692335128784,0.28999999165534973,3.552565336227417
19,0.40687501430511475,2.0569286346435547,0.2800000011920929,3.49717378616333
20,0.42500001192092896,1.9786971807479858,0.35249999165534973,3.4820985794067383
21,0.45124998688697815,1.8902349472045898,0.32499998807907104,3.4157514572143555
22,0.4468750059604645,1.884082317352295,0.3199999928474426,3.3636789321899414
23,0.47874999046325684,1.7928050756454468,0.38999998569488525,3.303966760635376
24,0.4925000071525574,1.7219958305358887,0.3700000047683716,3.35819149017334
25,0.48374998569488525,1.6844720840454102,0.36250001192092896,3.223795175552368
26,0.5087500214576721,1.6420015096664429,0.38499999046325684,3.177732467651367
27,0.5299999713897705,1.5535403490066528,0.4050000011920929,3.156841516494751
28,0.5687500238418579,1.4356127977371216,0.41999998688697815,3.017277479171753
29,0.5493749976158142,1.4624067544937134,0.4625000059604645,3.0544371604919434
30,0.5862500071525574,1.3629323244094849,0.4449999928474426,2.961071729660034
31,0.6087499856948853,1.2751659154891968,0.42500001192092896,2.867785930633545
32,0.5874999761581421,1.304079532623291,0.45750001072883606,2.8872928619384766
33,0.6237499713897705,1.197425365447998,0.4449999928474426,2.784088134765625
34,0.6393749713897705,1.1418706178665161,0.4449999928474426,2.7371301651000977
35,0.659375011920929,1.0756287574768066,0.42500001192092896,2.638489007949829
36,0.6543750166893005,1.1108735799789429,0.42500001192092896,2.6438417434692383
37,0.6825000047683716,1.0082693099975586,0.4375,2.5789954662323
38,0.7056249976158142,0.9691087603569031,0.4650000035762787,2.457545280456543
39,0.6924999952316284,0.956214427947998,0.46000000834465027,2.527451276779175
40,0.7081249952316284,0.9421034455299377,0.4650000035762787,2.423487424850464
41,0.7149999737739563,0.8879535794258118,0.45249998569488525,2.385861396789551
42,0.7281249761581421,0.8564998507499695,0.4449999928474426,2.2760636806488037
43,0.7262499928474426,0.8706952929496765,0.46000000834465027,2.321521520614624
44,0.7318750023841858,0.8315882682800293,0.42500001192092896,2.285099983215332
45,0.734375,0.8203297257423401,0.4300000071525574,2.2192254066467285
46,0.7387499809265137,0.7894569635391235,0.4424999952316284,2.1446568965911865
47,0.75,0.7737782001495361,0.4625000059604645,2.2012698650360107
48,0.7818750143051147,0.6734673380851746,0.47749999165534973,2.004668951034546
49,0.7875000238418579,0.6633320450782776,0.5350000262260437,1.9226863384246826
50,0.7881249785423279,0.6645321846008301,0.49000000953674316,1.9338433742523193
51,0.7925000190734863,0.6364406943321228,0.4749999940395355,2.002127170562744
52,0.7856249809265137,0.6644085049629211,0.5,1.8830718994140625
53,0.8025000095367432,0.5945993661880493,0.5174999833106995,1.8564932346343994
54,0.8100000023841858,0.5915353894233704,0.47999998927116394,1.9540807008743286
55,0.809374988079071,0.5968060493469238,0.512499988079071,1.861335277557373
56,0.8237500190734863,0.5606802105903625,0.49000000953674316,1.8706072568893433
57,0.8374999761581421,0.5190653800964355,0.5199999809265137,1.8055528402328491
58,0.8287500143051147,0.5167478322982788,0.5,1.7867016792297363
59,0.8212500214576721,0.5431053638458252,0.5149999856948853,1.7652406692504883
